Date,Price,Open,Low,High,Volume,Change
2017-04-21,92.6,93.6,94.0,92.0,1.31,-0.54
2017-04-20,93.1,94.0,94.5,93.0,0.91,-0.96
2017-04-19,94.0,94.0,94.2,94.0,0.73,0.0
2017-04-18,94.0,96.5,98.0,93.94,0.59,0.06
2017-04-17,93.94,95.0,95.25,93.9,0.53,1.33
2017-04-14,92.71,96.0,97.0,92.7,1.19,-2.94
2017-04-13,95.52,99.39,99.39,95.52,1.15,-2.43
2017-04-12,97.9,95.0,98.0,95.0,1.05,1.45
2017-04-11,96.5,94.0,96.5,94.0,1.05,1.51
2017-04-10,95.06,96.0,96.0,95.06,0.43,-3.0
2017-04-07,98.0,95.99,98.0,95.99,0.87,2.08
2017-04-06,96.0,94.0,96.0,93.0,0.73,2.1
2017-04-05,94.03,94.0,94.03,94.0,0.26,0.03
2017-04-04,94.0,93.0,94.0,92.83,0.27,0.11
2017-04-03,93.9,93.0,93.9,93.0,0.22,0.97
2017-03-31,93.0,93.0,93.0,93.0,0.09,0.2
2017-03-30,92.81,93.83,93.83,92.81,0.25,-0.2
2017-03-29,93.0,94.3,94.3,93.0,0.09,-1.48
2017-03-28,94.4,94.8,94.8,93.0,0.7,-0.42
2017-03-27,94.8,94.45,94.8,94.4,0.64,0.32
2017-03-24,94.5,94.17,94.51,94.17,0.7,0.0
2017-03-23,94.5,94.0,94.5,94.0,1.62,-0.24
2017-03-22,94.73,94.73,94.73,92.51,0.52,-0.07
2017-03-21,94.8,92.13,94.8,92.13,0.11,0.0
2017-03-17,94.8,93.6,94.8,93.6,3.64,1.07
2017-03-16,93.8,92.51,93.8,92.5,3.25,1.39
2017-03-15,92.51,93.5,93.5,92.51,0.05,-1.06
2017-03-14,93.5,91.5,93.5,91.5,28.15,2.75
2017-03-13,91.0,91.0,91.0,91.0,0.18,0.89
2017-03-10,90.2,90.5,90.5,90.2,0.34,-1.85
2017-03-09,91.9,92.0,92.0,91.9,0.26,-0.11
2017-03-08,92.0,90.08,92.0,90.08,0.11,0.99
2017-03-07,91.1,91.01,91.99,91.01,0.21,0.07
2017-03-06,91.04,92.4,92.4,91.04,0.26,-0.84
2017-03-03,91.81,91.8,92.4,91.8,0.54,-0.01
2017-03-02,91.82,91.95,91.95,91.81,2.07,0.02
2017-03-01,91.8,91.95,91.95,91.8,0.17,-0.16
2017-02-28,91.95,91.85,92.0,91.8,0.76,-0.05
2017-02-27,92.0,91.8,92.0,91.8,2.61,0.55
2017-02-24,91.5,91.5,91.9,91.5,0.43,0.0
2017-02-23,91.5,91.5,91.99,91.5,1.84,0.0
2017-02-22,91.5,91.99,91.99,91.01,0.35,0.55
2017-02-21,91.0,91.9,91.9,90.9,0.65,0.0
2017-02-20,91.0,90.4,91.0,90.1,0.22,1.0
2017-02-17,90.1,90.31,90.9,90.06,0.53,-0.22
2017-02-16,90.3,90.05,90.3,90.05,0.52,-0.22
2017-02-15,90.5,91.5,91.5,90.5,1.15,-0.02
2017-02-14,90.52,91.5,91.5,90.52,0.5,-1.07
2017-02-13,91.5,91.5,92.3,91.5,1.98,0.55
2017-02-10,91.0,91.5,91.5,91.0,2.11,1.11
2017-02-09,90.0,90.48,91.01,90.0,1.5,0.0
2017-02-08,90.0,90.9,90.9,90.0,0.16,0.0
2017-02-07,90.0,91.3,91.3,89.2,4.2,0.0
2017-02-06,90.0,90.0,91.3,90.0,1.23,0.0
2017-02-03,90.0,90.0,91.0,90.0,0.14,0.0
2017-02-02,90.0,90.0,91.49,90.0,0.7,0.0
2017-02-01,90.0,89.01,90.0,89.0,0.15,0.0
2017-01-31,90.0,91.0,91.49,90.0,1.97,-1.64
2017-01-30,91.5,91.5,91.5,91.5,0.11,0.0
2017-01-27,91.5,92.0,92.0,90.0,0.62,1.64
2017-01-26,90.02,92.4,92.4,90.02,0.16,-1.3
2017-01-25,91.21,91.79,92.4,91.21,0.94,-0.63
2017-01-24,91.79,90.13,91.79,90.13,0.64,0.1
2017-01-23,91.7,91.1,92.39,91.1,0.43,-0.75
2017-01-20,92.39,91.0,92.4,90.99,0.31,2.66
2017-01-19,90.0,92.4,92.4,90.0,1.01,-2.17
2017-01-18,92.0,90.0,92.0,90.0,0.48,1.28
2017-01-17,90.84,90.84,90.84,90.0,0.36,-0.01
2017-01-16,90.85,88.21,90.85,88.21,0.51,-0.03
2017-01-13,90.88,90.0,90.88,89.2,0.58,-0.01
2017-01-12,90.89,90.9,90.9,88.2,8.84,-1.09
2017-01-11,91.89,91.01,91.89,91.01,0.46,0.54
2017-01-10,91.4,91.01,91.4,91.01,0.99,0.43
2017-01-09,91.01,90.9,91.4,90.9,1.02,0.23
2017-01-06,90.8,90.9,91.0,90.1,2.62,-0.11
2017-01-05,90.9,89.02,90.98,89.02,1.57,1.02
2017-01-04,89.98,89.0,89.98,88.99,0.31,1.1
2017-01-03,89.0,89.0,89.0,88.01,0.26,1.14
2017-01-02,88.0,87.06,89.0,87.06,0.59,-1.95
2016-12-30,89.75,89.9,89.9,88.2,0.14,1.76
2016-12-29,88.2,88.0,88.2,88.0,15.75,0.24
2016-12-28,87.99,88.0,88.0,87.99,10.72,-0.01
2016-12-27,88.0,88.0,88.0,86.0,1.3,0.0
2016-12-26,88.0,88.0,88.0,88.0,0.59,0.0
2016-12-23,88.0,89.01,89.5,88.0,1.08,-1.12
2016-12-22,89.0,88.0,89.0,87.13,14.65,1.14
2016-12-21,88.0,88.0,88.0,87.01,7.65,0.01
2016-12-20,87.99,87.99,88.0,87.9,1.94,0.0
2016-12-19,87.99,88.0,88.0,87.99,4.24,-0.01
2016-12-16,88.0,88.2,88.2,87.2,3.12,-0.23
2016-12-15,88.2,88.51,88.51,88.2,1.3,-0.88
2016-12-14,88.98,89.0,89.0,88.22,0.31,-0.02
2016-12-13,89.0,88.21,89.0,88.21,0.12,0.45
2016-12-09,88.6,88.6,89.28,88.6,2.01,-0.45
2016-12-08,89.0,89.0,89.0,89.0,1.01,-0.89
2016-12-07,89.8,89.8,89.8,89.8,0.26,-0.11
2016-12-06,89.9,88.9,89.9,88.9,2.37,1.24
2016-12-05,88.8,88.6,88.8,88.0,0.66,0.91
2016-12-02,88.0,88.95,88.95,88.0,0.52,-0.56
2016-12-01,88.5,89.5,89.5,88.5,0.96,-1.12
2016-11-30,89.5,90.0,90.0,88.6,11.08,-0.56
2016-11-29,90.0,89.99,90.0,89.99,0.05,0.0
2016-11-28,90.0,90.0,90.0,90.0,0.57,0.0
2016-11-25,90.0,90.0,90.0,89.9,0.25,0.0
2016-11-24,90.0,89.88,90.0,89.88,4.28,0.01
2016-11-23,89.99,89.99,90.0,89.99,3.14,0.21
2016-11-22,89.8,90.0,90.0,89.8,0.09,-0.22
2016-11-21,90.0,90.0,90.0,90.0,4.0,0.0
2016-11-18,90.0,90.0,90.0,90.0,2.77,0.0
2016-11-17,90.0,90.0,90.0,90.0,0.08,0.0
2016-11-16,90.0,90.5,90.5,90.0,0.1,-0.55
2016-11-15,90.5,89.89,90.5,89.89,6.79,0.67
2016-11-14,89.9,90.12,90.12,89.9,0.25,-0.11
2016-11-11,90.0,89.02,90.89,89.0,2.05,-0.99
2016-11-10,90.9,88.65,90.9,88.65,3.51,1.92
2016-11-09,89.19,89.0,90.0,88.7,7.34,0.21
2016-11-08,89.0,89.19,89.19,88.6,3.92,0.0
2016-11-07,89.0,89.0,89.0,89.0,0.05,0.04
2016-11-04,88.96,88.96,88.96,88.96,0.01,0.0
2016-11-03,88.96,88.99,88.99,88.96,1.34,0.51
2016-11-02,88.51,89.0,89.0,88.51,1.11,-0.55
2016-11-01,89.0,89.0,89.0,89.0,0.22,-0.2
2016-10-31,89.18,89.18,89.18,89.18,0.0,0.2
2016-10-28,89.0,89.0,89.0,88.5,0.35,0.56
2016-10-27,88.5,89.28,89.5,88.5,1.95,-0.88
2016-10-25,89.29,88.5,89.29,88.5,1.7,0.1
2016-10-24,89.2,89.0,89.2,88.5,1.37,1.02
2016-10-21,88.3,88.17,88.3,88.17,0.27,0.22
2016-10-20,88.11,88.3,88.3,88.11,0.4,0.09
2016-10-19,88.03,88.94,88.94,88.0,0.63,-0.19
2016-10-18,88.2,88.94,88.94,87.99,0.65,0.11
2016-10-17,88.1,88.94,88.94,88.1,0.11,-1.0
2016-10-14,88.99,88.19,88.99,88.0,0.15,-0.01
2016-10-13,89.0,88.15,89.0,88.15,0.01,-0.21
2016-10-12,89.19,89.5,89.5,88.02,2.37,1.12
2016-10-11,88.2,89.8,89.8,88.2,8.96,-1.44
2016-10-10,89.49,89.49,89.49,89.49,0.0,0.54
2016-10-07,89.01,89.0,89.01,88.3,1.4,0.01
2016-10-06,89.0,88.6,89.0,88.6,0.02,0.45
2016-10-05,88.6,88.6,89.0,88.6,1.22,0.11
2016-10-04,88.5,88.03,88.6,88.03,2.67,-0.11
2016-09-30,88.6,89.49,89.49,88.01,3.62,-0.23
2016-09-29,88.8,88.02,88.8,88.02,0.05,-0.22
2016-09-28,89.0,89.4,89.4,89.0,0.66,0.0
2016-09-27,89.0,89.4,89.4,89.0,0.02,-0.45
2016-09-26,89.4,88.01,89.4,88.0,0.56,1.56
2016-09-23,88.03,88.8,88.99,88.02,5.66,0.01
2016-09-22,88.02,88.02,88.8,88.02,0.03,-0.43
2016-09-21,88.4,88.8,88.8,88.0,3.76,-0.11
2016-09-20,88.5,89.0,89.0,88.5,0.65,-1.12
2016-09-19,89.5,89.5,89.5,89.49,0.21,0.01
2016-09-16,89.49,88.49,89.49,88.49,0.27,0.44
2016-09-15,89.1,89.5,89.5,88.2,0.9,0.11
2016-09-14,89.0,89.0,89.0,89.0,0.29,0.0
2016-09-09,89.0,88.16,89.0,88.16,0.66,0.0
2016-09-08,89.0,88.8,89.0,88.1,0.22,0.56
2016-09-07,88.5,88.13,88.8,88.13,1.35,-0.33
2016-09-06,88.79,88.0,88.79,88.0,2.74,0.9
2016-09-05,88.0,87.5,88.0,87.5,0.4,0.0
